<<<<<<< HEAD
﻿issue_area,finding,finding,finding_pos
crime,Law enforcement is 24x more likely to use force on Black Californians than the group with the lowest rate.,Law enforcement officers are more than twice as likely to stop Black Californians than the average Californian.,1
crime,Law enforment is 2.6x more likely to arrest Black youth for status offenses than their White peers.,American Indian / Alaska Native Californians are the least likely of all racial groups to report that they feel safe in their neighborhood.,2
crime,"Latinx, AIAN, Black, and NHPI Californians report below average feelings of safety in their neighborhoods.",Law enforcement officers are over 3x more likely to use force on Black Californians than they are to use force on the average Californian.,3
democracy,"Latinx and Asian Californians have the lowest voter registration rates, with rates more than 15 percentage points below the White rate.",American Indian / Alaska Native Californians have the worst proportional representation in government among all groups in California.,4
democracy,"The 2020 Census garnered below average participation for Latinx, Black, and American Indian / Alaska Native communities.",Latinx and Asian Californians have the lowest rates of voter registration rates in the state.,5
democracy,American Indian / Alaska Native Californians have the worst proportional representation in government among all groups in California.,California has 2x more White elected officials per White Californian than the equivalent rates for all other races.,6
economy,"Only 48.5% of Latinxs in California live above the cost-of-living poverty line, compared to 76.8% of White Californians. ","Our education, economic, and other systems result in Black youth being least likely to be enrolled in school and / or employed.",7
economy,White Californian's per capita income is more than double that of American Indian / Alaska Native Californians.,California employers are 2.4x more likely to employ White workers as officials and managers than Latinx workers.,8
economy,California employers are 2.4x more likely to employ White workers as officials and managers than Latinx workers.,"More than half of Latinx Californians live below the cost-of-living-adjusted poverty line, compared to just one in five White Californians.",9
education,"About one-third of AIAN, Black, and Native Hawaiian / Pacific Islander students are chronically absent from school.",California schools are more than twice as likely to suspend Black and American Indian / Alaska Native students as the average student.,10
education,Fewer than half of children have access to Early Childhood Education statewide.,Fewer than half of children have access to Early Childhood Education statewide; Latinx and American Indian / Alaska Native children have the least access.,11
education,California educators are 3x more likely to suspend Black students than White students.,"Black, Native Hawaiian / Pacific Islander, and American Indian / Alaska Native students in California are all 3.5x more likely to be chronically absent from school than the group with the lowest rate.",12
hbe,Black and Multiracial Californians are nearly 2x more likely to have asthma than the least impacted group.,Latinx Californians are most likely to live in communities with high drinking water contaminant scores.,13
hbe,Southwest Asian / North African and Latinx Californians are most likely to live in communities with high drinking water contaminant scores.,"Southwest Asian / North African, Latinx, and Black Californians are most likely to live in communities near hazardous sites with toxic substances.",14
hbe,Black Californians are over 2.5x more likely to live in communities near industries releasing toxic materials than White Californians.,Asian and Black Californians live in communities with the least access to greenspace in the state.,15
health,"In California, maternal health care inequities mean that Black birthing parents are 2x more likely to have a baby with low birthweight than White birthing parents.",Asian Californians are the only racial group in the state that report receiving care for mental/emotional health or alcohol/drug issues at a rate below 50%.,16
health,Native Hawaiian / Pacific Islander and Latinx Californians are the least likely to report a usual source of health care among all racial groups in the state.,"In California, Black birthing parents are 2x more likely to have a baby with low birthweight than White birthing parents.",17
health,"Asian Californians are the only group in the state where less than half of those who need care for mental/emotional health or alcohol/drug issues, actually receive it.",Black Californians are nearly 2.5x more likely to experience preventable hospitalizations than the average Californian.,18
housing,Renters across the state are rent burdened - 1 in 2 renter households spend over 30% of their income on rent.,"Rent burden is high across the board in California, with 45% or more of renters in each racial group -- and over half of all renters -- spending more than 30% of income on housing in California.",19
housing,Latinx Californians are over 7x as likely to live in overcrowded housing than White Californians.,Latinx Californians are over 7x more likely than White Californians to live in overcrowded housing.,20
housing,AIAN and Black students in California are over 5x as likely to be homeless compared to the group with the lowest rate.,"American Indian / Alaska Native students are disproportionately impacted by homelessness in California, they are 5.8x and 3.5x more likely to experience homelessness than Asian and White students respectively.",21
=======
﻿issue_area,finding,findings_pos
crime,Law enforcement is 2.6x more likely to arrest Black youth for status offenses than their White peers.,1
crime,"Latinx, AIAN, Black, and NHPI Californians report below average feelings of safety in their neighborhoods.",2
crime,Law enforcement is 24x more likely to use force on Black Californians than the group with the lowest rate.,3
democracy,American Indian / Alaska Native Californians have the worst proportional representation in government among all groups in California.,4
democracy,"Latinx and Asian Californians have the lowest voter registration rates, with rates more than 15 percentage points below the White rate.",5
democracy,"The 2020 Census garnered below average participation for Latinx, Black, and American Indian / Alaska Native communities.",6
economy,"Only 48.5% of Latinxs in California live above the cost-of-living poverty line, compared to 76.8% of White Californians. ",7
economy,White Californian's per capita income is more than double that of American Indian / Alaska Native Californians.,8
economy,California employers are 2.4x more likely to employ White workers as officials and managers than Latinx workers.,9
education,"About one-third of AIAN, Black, and Native Hawaiian / Pacific Islander students are chronically absent from school.",10
education,Fewer than half of children have access to Early Childhood Education statewide.,11
education,California school administrators are 3x more likely to suspend Black students than White students.,12
hbe,Black and Multiracial Californians are nearly 2x more likely to have asthma than the least impacted group.,13
hbe,Southwest Asian / North African and Latinx Californians are most likely to live in communities with high drinking water contaminant scores.,14
hbe,Black Californians are over 2.5x more likely to live in communities near industries releasing toxic materials than White Californians.,15
health,"Asian Californians are the only group in the state where less than half of those who need care for mental/emotional health or alcohol/drug issues, actually receive it.",16
health,"In California, maternal health care inequities mean that Black birthing parents are 2x more likely to have a baby with low birthweight than White birthing parents.",17
health,Native Hawaiian / Pacific Islander and Latinx Californians are the least likely to report a usual source of health care among all racial groups in the state.,18
housing,Renters across the state are rent burdened - 1 in 2 renter households spend over 30% of their income on rent.,19
housing,Latinx Californians are over 7x as likely to live in overcrowded housing than White Californians.,20
housing,AIAN and Black students in California are over 5x as likely to be homeless compared to the group with the lowest rate.,21
>>>>>>> 5dce0ed53be186b067aeaa00337d5357a9eb513e
