"county_name","Most_Disp_Indicator","Lowest_Performing_Indicator"
"Alameda","Alameda County's high racial disparity in Early Childhood Education Access stands out most compared to other counties.","Alameda County's low overall performance in Lack of Greenspace stands out most compared to other counties."
"Alpine","Alpine County's high racial disparity in Per Capita Income stands out most compared to other counties.","Alpine County's low overall performance in Homeowner Cost Burden stands out most compared to other counties."
"Amador","Amador County's high racial disparity in Employment stands out most compared to other counties.","Amador County's low overall performance in Proximity to Hazards stands out most compared to other counties."
"Butte","Butte County's high racial disparity in Homeownership stands out most compared to other counties.","Butte County's low overall performance in Preventable Hospitalizations stands out most compared to other counties."
"Calaveras","Calaveras County's high racial disparity in Drinking Water Contaminants stands out most compared to other counties.","Calaveras County's low overall performance in Chronic Absenteeism stands out most compared to other counties."
"Colusa","Colusa County's high racial disparity in Teacher & Staff Diversity stands out most compared to other counties.","Colusa County's low overall performance in Student Homelessness stands out most compared to other counties."
"Contra Costa","Contra Costa County's high racial disparity in Diversity of Candidates stands out most compared to other counties.","Contra Costa County's low overall performance in Teacher & Staff Diversity stands out most compared to other counties."
"Del Norte","Del Norte County's high racial disparity in Life Expectancy stands out most compared to other counties.","Del Norte County's low overall performance in Chronic Absenteeism stands out most compared to other counties."
"El Dorado","El Dorado County's high racial disparity in Denied Mortgages stands out most compared to other counties.","El Dorado County's low overall performance in Evictions stands out most compared to other counties."
"Fresno","Fresno County's high racial disparity in Officials and Managers stands out most compared to other counties.","Fresno County's low overall performance in Voter Registration stands out most compared to other counties."
"Glenn","Glenn County's high racial disparity in Use of Force stands out most compared to other counties.","Glenn County's low overall performance in Arrests for Status Offenses stands out most compared to other counties."
"Humboldt","Humboldt County's high racial disparity in Arrests for Status Offenses stands out most compared to other counties.","Humboldt County's low overall performance in Renter Cost Burden stands out most compared to other counties."
"Imperial","Imperial County's high racial disparity in Renter Cost Burden stands out most compared to other counties.","Imperial County's low overall performance in Got Help stands out most compared to other counties."
"Inyo","Inyo County's high racial disparity in Homeowner Cost Burden stands out most compared to other counties.","Inyo County's low overall performance in High School Graduation stands out most compared to other counties."
"Kern","Kern County's high racial disparity in Asthma stands out most compared to other counties.","Kern County's low overall performance in Subprime Mortgages stands out most compared to other counties."
"Kings","Kings County's high racial disparity in Voting in Presidential Elections stands out most compared to other counties.","Kings County's low overall performance in Cost-of-Living Adjusted Poverty stands out most compared to other counties."
"Lake","Lake County's high racial disparity in Subprime Mortgages stands out most compared to other counties.","Lake County's low overall performance in Incarceration stands out most compared to other counties."
"Lassen","Lassen County's high racial disparity in Lack of Greenspace stands out most compared to other counties.","Lassen County's low overall performance in Suspensions and Foreclosures stand out most compared to other counties."
