"geoid","geo_name","geo_level","race","finding_type","finding","findings_pos","src","citations"
"06001","Alameda","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of Alameda County.",3,"rda",""
"06003","Alpine","county","aian","most disparate","Data for American Indian / Alaska Native residents of Alpine County is too limited for this analysis.",3,"rda",""
"06005","Amador","county","aian","most disparate","Chronic Absenteeism is the most disparate indicator for American Indian / Alaska Native residents of Amador County.",3,"rda",""
"06007","Butte","county","aian","most disparate","Early Childhood Education Access is the most disparate indicator for American Indian / Alaska Native residents of Butte County.",3,"rda",""
"06009","Calaveras","county","aian","most disparate","Student Homelessness is the most disparate indicator for American Indian / Alaska Native residents of Calaveras County.",3,"rda",""
"06","California","state","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of California.",3,"rda",""
"06011","Colusa","county","aian","most disparate","Chronic Absenteeism is the most disparate indicator for American Indian / Alaska Native residents of Colusa County.",3,"rda",""
"06013","Contra Costa","county","aian","most disparate","Asthma is the most disparate indicator for American Indian / Alaska Native residents of Contra Costa County.",3,"rda",""
"06015","Del Norte","county","aian","most disparate","Internet Access is the most disparate indicator for American Indian / Alaska Native residents of Del Norte County.",3,"rda",""
"06017","El Dorado","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of El Dorado County.",3,"rda",""
"06019","Fresno","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of Fresno County.",3,"rda",""
"06021","Glenn","county","aian","most disparate","Chronic Absenteeism is the most disparate indicator for American Indian / Alaska Native residents of Glenn County.",3,"rda",""
"06023","Humboldt","county","aian","most disparate","Proximity to Hazards is the most disparate indicator for American Indian / Alaska Native residents of Humboldt County.",3,"rda",""
"06025","Imperial","county","aian","most disparate","Early Childhood Education Access is the most disparate indicator for American Indian / Alaska Native residents of Imperial County.",3,"rda",""
"06027","Inyo","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of Inyo County.",3,"rda",""
"06029","Kern","county","aian","most disparate","Renter Cost Burden is the most disparate indicator for American Indian / Alaska Native residents of Kern County.",3,"rda",""
"06031","Kings","county","aian","most disparate","Early Childhood Education Access is the most disparate indicator for American Indian / Alaska Native residents of Kings County.",3,"rda",""
"06033","Lake","county","aian","most disparate","Chronic Absenteeism is the most disparate indicator for American Indian / Alaska Native residents of Lake County.",3,"rda",""
"06035","Lassen","county","aian","most disparate","Student Homelessness is the most disparate indicator for American Indian / Alaska Native residents of Lassen County.",3,"rda",""
"06037","Los Angeles","county","aian","most disparate","High School Graduation is the most disparate indicator for American Indian / Alaska Native residents of Los Angeles County.",3,"rda",""
"06039","Madera","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of Madera County.",3,"rda",""
"06041","Marin","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of Marin County.",3,"rda",""
"06043","Mariposa","county","aian","most disparate","Drinking Water Contaminants is the most disparate indicator for American Indian / Alaska Native residents of Mariposa County.",3,"rda",""
"06045","Mendocino","county","aian","most disparate","Student Homelessness is the most disparate indicator for American Indian / Alaska Native residents of Mendocino County.",3,"rda",""
"06047","Merced","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of Merced County.",3,"rda",""
"06049","Modoc","county","aian","most disparate","Student Homelessness is the most disparate indicator for American Indian / Alaska Native residents of Modoc County.",3,"rda",""
"06051","Mono","county","aian","most disparate","Foreclosures is the most disparate indicator for American Indian / Alaska Native residents of Mono County.",3,"rda",""
"06053","Monterey","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of Monterey County.",3,"rda",""
"06055","Napa","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of Napa County.",3,"rda",""
"06057","Nevada","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of Nevada County.",3,"rda",""
"06059","Orange","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of Orange County.",3,"rda",""
"06061","Placer","county","aian","most disparate","Renter Cost Burden is the most disparate indicator for American Indian / Alaska Native residents of Placer County.",3,"rda",""
"06063","Plumas","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of Plumas County.",3,"rda",""
"06065","Riverside","county","aian","most disparate","High School Graduation is the most disparate indicator for American Indian / Alaska Native residents of Riverside County.",3,"rda",""
"06067","Sacramento","county","aian","most disparate","Employment is the most disparate indicator for American Indian / Alaska Native residents of Sacramento County.",3,"rda",""
"06069","San Benito","county","aian","most disparate","Employment is the most disparate indicator for American Indian / Alaska Native residents of San Benito County.",3,"rda",""
"06071","San Bernardino","county","aian","most disparate","Early Childhood Education Access is the most disparate indicator for American Indian / Alaska Native residents of San Bernardino County.",3,"rda",""
"06073","San Diego","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of San Diego County.",3,"rda",""
"06075","San Francisco","county","aian","most disparate","Asthma is the most disparate indicator for American Indian / Alaska Native residents of San Francisco County.",3,"rda",""
"06077","San Joaquin","county","aian","most disparate","Living Wage is the most disparate indicator for American Indian / Alaska Native residents of San Joaquin County.",3,"rda",""
"06079","San Luis Obispo","county","aian","most disparate","Evictions is the most disparate indicator for American Indian / Alaska Native residents of San Luis Obispo County.",3,"rda",""
"06081","San Mateo","county","aian","most disparate","Early Childhood Education Access is the most disparate indicator for American Indian / Alaska Native residents of San Mateo County.",3,"rda",""
"06083","Santa Barbara","county","aian","most disparate","Renter Cost Burden is the most disparate indicator for American Indian / Alaska Native residents of Santa Barbara County.",3,"rda",""
"06085","Santa Clara","county","aian","most disparate","Low Birthweight is the most disparate indicator for American Indian / Alaska Native residents of Santa Clara County.",3,"rda",""
"06087","Santa Cruz","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of Santa Cruz County.",3,"rda",""
"06089","Shasta","county","aian","most disparate","Student Homelessness is the most disparate indicator for American Indian / Alaska Native residents of Shasta County.",3,"rda",""
"06091","Sierra","county","aian","most disparate","Data for American Indian / Alaska Native residents of Sierra County is too limited for this analysis.",3,"rda",""
"06093","Siskiyou","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of Siskiyou County.",3,"rda",""
"06095","Solano","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of Solano County.",3,"rda",""
"06097","Sonoma","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of Sonoma County.",3,"rda",""
"06099","Stanislaus","county","aian","most disparate","Renter Cost Burden is the most disparate indicator for American Indian / Alaska Native residents of Stanislaus County.",3,"rda",""
"06101","Sutter","county","aian","most disparate","Preventable Hospitalizations is the most disparate indicator for American Indian / Alaska Native residents of Sutter County.",3,"rda",""
"06103","Tehama","county","aian","most disparate","Internet Access is the most disparate indicator for American Indian / Alaska Native residents of Tehama County.",3,"rda",""
"06105","Trinity","county","aian","most disparate","Chronic Absenteeism is the most disparate indicator for American Indian / Alaska Native residents of Trinity County.",3,"rda",""
"06107","Tulare","county","aian","most disparate","Employment is the most disparate indicator for American Indian / Alaska Native residents of Tulare County.",3,"rda",""
"06109","Tuolumne","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of Tuolumne County.",3,"rda",""
"06111","Ventura","county","aian","most disparate","Denied Mortgages is the most disparate indicator for American Indian / Alaska Native residents of Ventura County.",3,"rda",""
"06113","Yolo","county","aian","most disparate","Suspensions is the most disparate indicator for American Indian / Alaska Native residents of Yolo County.",3,"rda",""
"06115","Yuba","county","aian","most disparate","Preventable Hospitalizations is the most disparate indicator for American Indian / Alaska Native residents of Yuba County.",3,"rda",""
"06001","Alameda","county","asian","most disparate","Voting in Midterm Elections is the most disparate indicator for Asian residents of Alameda County.",3,"rda",""
"06003","Alpine","county","asian","most disparate","Data for Asian residents of Alpine County is too limited for this analysis.",3,"rda",""
"06005","Amador","county","asian","most disparate","Foreclosures is the most disparate indicator for Asian residents of Amador County.",3,"rda",""
"06007","Butte","county","asian","most disparate","Overcrowded Housing is the most disparate indicator for Asian residents of Butte County.",3,"rda",""
"06009","Calaveras","county","asian","most disparate","Use of Force is the most disparate indicator for Asian residents of Calaveras County.",3,"rda",""
"06","California","state","asian","most disparate","Got Help is the most disparate indicator for Asian residents of California.",3,"rda",""
"06011","Colusa","county","asian","most disparate","Census Participation is the most disparate indicator for Asian residents of Colusa County.",3,"rda",""
"06013","Contra Costa","county","asian","most disparate","Suspensions is the most disparate indicator for Asian residents of Contra Costa County.",3,"rda",""
"06015","Del Norte","county","asian","most disparate","Homeownership is the most disparate indicator for Asian residents of Del Norte County.",3,"rda",""
"06017","El Dorado","county","asian","most disparate","Low Birthweight is the most disparate indicator for Asian residents of El Dorado County.",3,"rda",""
